City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,duba,27.3513,35.6901,30.84,46,0,2.71,SA,1689650368
326,bambari,5.768,20.6757,21.76,93,56,1.35,CF,1689650368
327,abbeville,50.1,1.8333,9.98,89,54,2.08,FR,1689650368
328,maranello,44.5248,10.8655,24.88,58,0,1.0,IT,1689650368
329,north bend,43.4065,-124.2243,21.25,72,0,10.29,US,1689650368
330,namtsy,62.7161,129.6658,22.69,61,85,4.21,RU,1689650368
331,celestun,20.8667,-90.4,28.07,81,83,8.45,MX,1689650368
332,port blair,11.6667,92.75,28.02,89,100,6.17,IN,1689650369
333,vilhena,-12.7406,-60.1458,19.94,49,43,1.0,BR,1689650369
334,zahedan,29.4963,60.8629,27.95,17,0,0.0,IR,1689650369
335,krasnyy chikoy,50.3643,108.7512,18.87,90,100,2.19,RU,1689650369
336,andergrove,-21.0833,149.1833,20.54,76,90,7.9,AU,1689650369
337,meiganga,6.5167,14.3,17.94,96,25,1.18,CM,1689650369
338,laguna,38.421,-121.4238,35.81,33,0,4.63,US,1689650369
339,tura,25.5198,90.2201,29.34,70,65,1.0,IN,1689650370
340,cromer,52.9312,1.2989,13.23,76,100,3.12,GB,1689650370
341,point pedro,9.8167,80.2333,28.99,73,100,7.62,LK,1689650370
342,beyneu,45.3167,55.2,23.11,53,75,7.24,KZ,1689650370
343,punta arenas,-53.15,-70.9167,3.06,75,75,7.2,CL,1689650242
344,klyuchi,52.2667,79.1667,25.01,43,91,3.2,RU,1689650370
345,rezh,57.37,61.4043,17.6,95,77,2.8,RU,1689650370
346,glenvale,-27.5648,151.9076,16.6,72,91,1.67,AU,1689650371
347,ahmadpur east,29.1431,71.2598,37.14,42,24,6.15,PK,1689650371
348,yazoo city,32.8551,-90.4056,26.62,71,0,2.58,US,1689650068
349,kailua-kona,19.6406,-155.9956,29.22,79,75,3.6,US,1689650271
350,mantua,45.1667,10.7833,25.55,83,0,1.11,IT,1689650092
351,piti village,13.4626,144.6933,31.84,72,40,5.66,GU,1689650372
352,igarka,67.4667,86.5833,18.58,71,96,8.28,RU,1689650372
353,simoca,-27.2627,-65.3565,10.03,60,100,1.02,AR,1689650393
354,santyoku,37.4406,129.1708,23.81,93,100,3.12,KR,1689650393
355,punta cana,18.5818,-68.4043,27.87,89,75,4.12,DO,1689650367
356,malango,-2.9627,119.9001,26.81,56,48,1.72,ID,1689650435
357,twon-brass,4.3151,6.2418,25.4,88,100,5.86,NG,1689650456
358,howard springs,-12.497,131.047,30.95,33,73,5.58,AU,1689650457
359,bilmak,47.3624,36.6511,18.18,61,3,1.3,UA,1689650457
360,ilica,39.9463,41.1091,7.96,71,0,2.06,TR,1689650457
361,massawa,15.6097,39.45,34.05,50,100,0.64,ER,1689650478
